Title,Seller,Price,Location,Year,Ran,Engine Type,Transmission,province
Aixam City - 2011 - incl. 3 mnd garantie + onderhoudsbeurt,Garage Kaal & Buunk,"8.950,-",Beek,2011,21.942 km,Diesel ,Automaat ,Limburg
"Mooie & betrouwbare Mini One! (volle tank, zomerbanden erbij",Peter,"5.745,-",Alblasserdam,2010,186.843 km,Benzine ,Handgeschakeld ,Zuid-Holland
Volkswagen caddy,Daan Broecks,"23.000,-","Zoersel , BE",2017,50.000 km,Diesel ,Handgeschakeld ,In every province
Peugeot 208 1.2 VTI 82PK  AIRCO-TREKHAAK-CRUISE CONTROL,Valk automotive,"5.850,-",Nijkerk,2014,137.254 km,Benzine ,Handgeschakeld ,Gelderland
MINI Mini 1.6 Cooper S Chili 184 PK! Ecc Cruisecontrol Leer,STM Auto's,"9.950,-",Putten,2011,157.166 km,Benzine ,Handgeschakeld ,Gelderland
Volkswagen Golf 2.0 TSI R 4M PERFORMANCE AKRA HEADUP HARMAN,Autobedrijf Jong ijzer,"56.950,-",Waalwijk,2021,22.918 km,Benzine ,Automaat ,Noord-Brabant
Chrysler NASSAU COUPE 1956 Gerestaureerd NL-Kenteken,Autobedrijf Robert Wagner,"37.900,-",Veenoord,1956,94.418 km,Benzine ,Automaat ,Drenthe
Aixam- 2010- 28.472KM- Incl.3mnd garantie en onderhoudsbeurt,Garage Kaal & Buunk,"8.950,-",Beek,2010,28.472 km,Diesel ,Automaat ,Limburg
Chevrolet Corvette 1978 Pace Car All Original Matching # KM/,Autobedrijf Robert Wagner,"36.900,-",Veenoord,1978,84.752 km,Benzine ,Automaat ,Drenthe
Mini Cooper S 2005 Panoramadak  Originele NL auto met NAP,T. v. Boven,"4.995,-",Sint-Michielsgestel,2005,179.764 km,Benzine ,Handgeschakeld ,Noord-Brabant
Volkswagen Transporter T6 Highline -CNG/Aardgas-204PK- 9pers,Ömer,"28.950,-",Amsterdam,2018,290.000 km,Benzine ,Automaat ,Noord-Holland
Opel Corsa1.2Turbo|CarPlay|Start/Stop|achteruitrijcamera,AJA,"20.499,-",Zoetermeer,2022,8.000 km,Benzine ,Handgeschakeld ,Zuid-Holland
Toyota ProAce 2.0D-4D 123pk L3H1 XL Extra lang Euro6*Rijklaa,Van der Wal Vans,"22.800,-",Langerak,2021,41.718 km,Diesel ,Handgeschakeld ,Drenthe
Aixam City - 2011 - incl. 3 mnd garantie + onderhoudsbeurt,Garage Kaal & Buunk,"8.950,-",Beek,2011,21.942 km,Diesel ,Automaat ,Limburg
Aixam- 2010- 28.472KM- Incl.3mnd garantie en onderhoudsbeurt,Garage Kaal & Buunk,"8.950,-",Beek,2010,28.472 km,Diesel ,Automaat ,Limburg
Mercedes-benz E-KLASSE E230 Avantgarde V6 60dKm Youngtimer,Automotive Experience,"14.995,-",Vianen,2007,60.750 km,Benzine ,Automaat ,Noord-Brabant
Volvo 780 Coupé Bertone 2.8 ltr 6 cil. 1987 Zilvergrijs,Robert,"38.900,-",Vianen NB,1987,23.200 km,Benzine ,Automaat ,In every province
Mercedes-Benz A-klasse 250 e AMG Pano Pano Multibeam BlackPa,De Steiger Auto's,"39.950,-",Almere,2020,25.385 km,Hybride Elektrisch/Benzine ,Automaat ,Flevoland
Aixam Crossline -2009- incl. 3 mnd garantie +onderhoudsbeurt,Garage Kaal & Buunk,"8.950,-",Beek,2009,34.646 km,Diesel ,Automaat ,Limburg
Volkswagen Golf 7 1.4 TSI 3X R-Line,Wenda Wams,"16.100,-",Tilburg,2015,130.000 km,Benzine ,Handgeschakeld ,Noord-Brabant
Peugeot 208 1.2 VTI | Stoelverwarming | 60KW/82PK 2014 Wit,Arkin,"7.999,98",Soest,2014,88.200 km,Benzine ,Handgeschakeld ,Utrecht
Volkswagen Beetle Cabriolet 1.2 TSI Design / AUT / Leder / A,Autobedrijf Van Altena,"19.950,-",Voorschoten,2013,100.503 km,Benzine ,Automaat ,Zuid-Holland
Audi A4 2.0 TDI Ultra 140KW AV S-tr7 2017 Wit,wali,"26.500,-",Rotterdam,2017,10.600 km,Diesel ,Automaat ,Zuid-Holland
Triumph TR6 California Import,Autobedrijf Robert Wagner,"12.500,-",Veenoord,1971,12.345 km,Benzine ,Handgeschakeld ,Drenthe
Ford FIESTA 1.0 EcoBoost ST Line 140pk LED NAVI,Automotive Experience,"15.950,-",Vianen,2018,85.650 km,Benzine ,Handgeschakeld ,Noord-Brabant
Rolstoelbus 9 persoons / 4 rolstoelen.,Mobility4All BV,"44.950,-",Harbrinkhoek,2018,156.000 km,Diesel ,Handgeschakeld ,Overijssel
BMW X5 M-pakket Xdrive 311PK Grijs kenteken,KG handelsonderneming,"34.500,-",Oss,2017,99.200 km,Diesel ,Automaat ,Noord-Brabant
"BMW 3-serie 320i Cabrio, High Executive Dealer onderhouden",Carpix,"13.650,-",Huizen,2008,173.806 km,Benzine ,Automaat ,Noord-Holland
"Volkswagen Transporter, 2.0TDI 90 pk, 1 jaar oud, BTW auto",Steven,"23.990,-",Zeewolde,2022,32.541 km,Diesel ,Handgeschakeld ,Flevoland
Aixam Crossline -2009- incl. 3 mnd garantie +onderhoudsbeurt,Garage Kaal & Buunk,"8.950,-",Beek,2009,34.646 km,Diesel ,Automaat ,Limburg
Rolstoelbus 9 persoons / 4 rolstoelen.,Mobility4All BV,"44.950,-",Harbrinkhoek,2018,156.000 km,Diesel ,Handgeschakeld ,Overijssel
Volvo S40 1.8 2003 Blauw,Autobedrijf van der Laan,"1.750,-",Hazerswoude-Dorp,2003,262.542 km,Benzine ,Handgeschakeld ,Zuid-Holland
Volvo V40 1.5 T2 Momentum CRUISE CONTROLE NAVIGATIE XENON,Rudy Van De Ven Auto's,"14.899,-",Enter,2014,91.712 km,Benzine ,Handgeschakeld ,Overijssel
Mercedes-Benz S-Klasse 350 BlueTEC Lang Prestige Plus- Night,Auto Service Haarlem B.V.,"49.900,-",Haarlem,2017,151.181 km,Diesel ,Automaat ,Noord-Holland
Volkswagen Amarok 3.0 TDI V6 4Motion Plus Cab R-line+ Comfor,Auto Service Haarlem B.V.,"39.900,-",Haarlem,2017,72.232 km,Diesel ,Automaat ,Noord-Holland
Ford Custom 320 2.0 TDCI L2H1 Trend 170PK DC AUT Cam €471pm,Finalease.nl,"28.950,-",Heel Nederland,2018,98.986 km,Diesel ,Automaat ,In every province
"Land Rover 88 diesel, bj 1982, oldtimer, goede staat",Sunshine Motors,"7.500,-","Malaga , ES",1982,113.000 km,Diesel ,Handgeschakeld ,In every province
"Volkswagen GOLF Variant 1.2 TSI Highline- Park Assist, Navi,",Auto Service Haarlem B.V.,"12.900,-",Haarlem,2013,159.579 km,Benzine ,Handgeschakeld ,Noord-Holland
Peugeot 208 1.2 VTI 82PK  AIRCO-TREKHAAK-CRUISE CONTROL,Valk automotive,"5.850,-",Nijkerk,2014,137.254 km,Benzine ,Handgeschakeld ,Gelderland
Mercedes-Benz E-Klasse 220 d AMG Night Edition Aut- Schuifda,Auto Service Haarlem B.V.,"34.900,-",Haarlem,2016,139.985 km,Diesel ,Automaat ,Noord-Holland
Mercedes-Benz A-Klasse 45s AMG 4MATIC Performance- Schaalsto,Auto Service Haarlem B.V.,"34.900,-",Haarlem,2015,97.254 km,Benzine ,Automaat ,Noord-Holland
"Nissan QASHQAI 1.2 Tekna 360 Camera, Panodak, Xenon Led, Sfe",Auto Service Haarlem B.V.,"19.900,-",Haarlem,2017,150.792 km,Benzine ,Handgeschakeld ,Noord-Holland
Mercedes-Benz Vito 119 CDI Lang AMG Night Edition Aut- 2x Sc,Auto Service Haarlem B.V.,"34.900,-",Haarlem,2018,137.515 km,Diesel ,Automaat ,Noord-Holland
Ford Transit Connect 1.5TDCI L2H1 Trend Euro6 *Rijklaar* Air,Van der Wal Vans,"19.750,-",Langerak,2020,92.330 km,Diesel ,Handgeschakeld ,Drenthe
Mercedes-Benz GLE 300 d 4MATIC AMG Night Edition- Alcantara,Auto Service Haarlem B.V.,"79.900,-",Haarlem,2019,25.968 km,Diesel ,Automaat ,Noord-Holland
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 *Rijklaar* Airco | Cr,Van der Wal Vans,"304,-",Langerak,2019,101.627 km,Diesel ,Handgeschakeld ,Drenthe
"Volkswagen Golf 1.5 eTSI R Performance Aut- Harman Kardon, P",Auto Service Haarlem B.V.,"44.900,-",Haarlem,2021,30.351 km,Hybride Elektrisch/Benzine ,Automaat ,Noord-Holland
"Dodge Ram 1500 5.7 V8 Rebel Night G/T E-Torque, TRX opties!",Millbrooks,"79.950,-",Nuland,2023,10 km,LPG ,Automaat ,Noord-Brabant
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 Airco | Cruise | 3-zi,Van der Wal Vans,"18.400,-",Langerak,2020,93.679 km,Diesel ,Handgeschakeld ,Drenthe
Toyota ProAce 1.5D-4D L2H1 Euro6 Airco | Cruisecontrol | Par,Van der Wal Vans,"275,-",Langerak,2020,127.300 km,Diesel ,Handgeschakeld ,Drenthe
Ford Custom 320 2.0 TDCI L2H1 Trend 170PK DC AUT Cam €471pm,Finalease.nl,"28.950,-",Heel Nederland,2018,98.986 km,Diesel ,Automaat ,In every province
Mini Cooper S 2005 Panoramadak  Originele NL auto met NAP,T. v. Boven,"4.995,-",Sint-Michielsgestel,2005,179.764 km,Benzine ,Handgeschakeld ,Noord-Brabant
Opel Corsa 1.3 CDTI 95PK ecoFLEX Cosmo Navi 5-Drs,Steijger Autoservice,"3.945,-",Sint-Michielsgestel,2012,195.075 km,Diesel ,Handgeschakeld ,Noord-Brabant
BMW 335i sport,Vermeulen,"18.000,-",Oosterhout,2011,159.326 km,Benzine ,Automaat ,Noord-Brabant
Mercedes 500sec,Jony,"12.349,-",Oss,1982,238.109 km,Benzine ,Automaat ,Noord-Brabant
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 Airco | Cruise | 3-zi,Van der Wal Vans,"300,-",Langerak,2020,93.679 km,Diesel ,Handgeschakeld ,Drenthe
Audi Q4 Sportback e-tron 35 52 kWh | Binnen 14 dagen rijden,Ames Zwijndrecht,"56.995,-",Zwijndrecht,2022,4.341 km,Elektrisch ,Automaat ,Zuid-Holland
Volkswagen Polo 1.0TSI 95pk Life | Stoelverwarming | Achteru,Ames Zwijndrecht,"23.995,-",Zwijndrecht,2022,15.121 km,Benzine ,Handgeschakeld ,Zuid-Holland
Volkswagen GOLF Variant 1.5 TSI 150pk Comforttline | Navigat,Ames Zwijndrecht,"24.495,-",Zwijndrecht,2020,45.800 km,Benzine ,Handgeschakeld ,Zuid-Holland
Volkswagen Golf 1.5 TSI 130pk R-Line | 18 inch | Navigatie |,Ames Zwijndrecht,"33.995,-",Zwijndrecht,2021,27.500 km,Benzine ,Handgeschakeld ,Zuid-Holland
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 *Rijklaar* Airco | Cr,Van der Wal Vans,"324,-",Langerak,2020,89.772 km,Diesel ,Handgeschakeld ,Drenthe
Skoda Fabia 1.0 TSI 95pk TSI Ambition | Climatronic | Apple,Ames Zwijndrecht,"21.995,-",Zwijndrecht,2022,18.203 km,Benzine ,Handgeschakeld ,Zuid-Holland
Skoda ENYAQ iV 80 204pk Sportline | Direct uit voorraad leve,Ames Zwijndrecht,"63.995,-",Zwijndrecht,2023,1.500 km,Elektrisch ,Automaat ,Zuid-Holland
SEAT Ateca 1.5TSI 150pk DSG-7 FR | Verwarmbare voorstoelen &,Ames Zwijndrecht,"39.495,-",Zwijndrecht,2022,18.874 km,Benzine ,Automaat ,Zuid-Holland
Porsche Panamera E-Hybrid Sport Turismo (2019) FULL OPTIONS,René,"99.950,-",Ulvenhout,2019,33.936 km,Benzine ,Automaat ,Noord-Brabant
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 Airco | Cruise | Park,Van der Wal Vans,"308,-",Langerak,2020,102.633 km,Diesel ,Handgeschakeld ,Drenthe
SEAT Arona 1.0TSI 110pk FR | Full LED koplampverlichting | N,Ames Zwijndrecht,"27.495,-",Zwijndrecht,2022,14.321 km,Benzine ,Handgeschakeld ,Zuid-Holland
Audi A3 Sportback 35 TFSI S-Line | 18inch | Stoelverwarming,Audi Centrum Dordrecht,"41.995,-",Dordrecht,2022,4.048 km,Benzine ,Automaat ,Zuid-Holland
Audi A3 Sportback 40 TFSI e 204pk Advanced | (bj 2021),Audi Centrum Dordrecht,"37.995,-",Dordrecht,2021,16.205 km,Hybride Elektrisch/Benzine ,Automaat ,Zuid-Holland
Audi A3 Sportback 40 TFSI e 204pk Business edition,Ames Zwijndrecht,"37.995,-",Zwijndrecht,2021,9.678 km,Hybride Elektrisch/Benzine ,Automaat ,Zuid-Holland
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 Airco | Cruise | Park,Van der Wal Vans,"18.900,-",Langerak,2020,102.633 km,Diesel ,Handgeschakeld ,Drenthe
"Audi A3 Sportback 40 TFSI e 204pk | (bj 2021, automaat)",Audi Centrum Dordrecht,"39.995,-",Dordrecht,2021,10.732 km,Overige brandstoffen ,Automaat ,Zuid-Holland
Audi A1 Sportback 35 TFSI 150pk S-tronic S-Line (bj 2022),Audi Centrum Dordrecht,"37.995,-",Dordrecht,2022,7.453 km,Benzine ,Automaat ,Zuid-Holland
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 *Rijklaar* Airco | Cr,Van der Wal Vans,"18.700,-",Langerak,2019,101.627 km,Diesel ,Handgeschakeld ,Drenthe
Alpina D5 Touring 2012,Elzink,"23.000,-",Apeldoorn,2012,243.000 km,Diesel ,Automaat ,Gelderland
✅ Audi A3 S-line 150pk Virtual-Cockpit Keyless LED  “VOLL”,Mats,"18.350,-",Goirle,2017,104.081 km,Benzine ,Handgeschakeld ,Noord-Brabant
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 Airco | Cruise | 3-zi,Van der Wal Vans,"18.400,-",Langerak,2020,93.679 km,Diesel ,Handgeschakeld ,Drenthe
Volkswagen Golf 7.5  1.0 TSI 110pk 7-DSG 5D 2017 Zwart,peter,"18.550,-",Elspeet,2017,95.000 km,Benzine ,Automaat ,Gelderland
Volkswagen UP! 1.0 75PK BMT move up! 5D / Airco | Led | DAB,van der Ben,"7.995,-",Hoogezand,2018,105.350 km,Benzine ,Handgeschakeld ,Groningen
"BMW 3-serie 318i, High Executive,101229km Dealer onderhouden",Carpix,"12.850,-",Huizen,2010,101.229 km,Benzine ,Automaat ,Noord-Holland
Audi S4 2003 Zwart btw auto,Pascal,"8.500,-",Bemmel,2003,235.300 km,Benzine ,Handgeschakeld ,Gelderland
RENAULT 6  R6  1972   APK  EN  BELASTINGVRIJ,Kihon,"2.250,-",Wageningen,1972,75.000 km,Benzine ,Handgeschakeld ,Gelderland
Peugeot Expert Bestelbus 1.6 BlueHDI 95 Pro | Airco | Cruise,DUTCH Vans,"11.700,-",Barneveld,2016,158.539 km,Diesel ,Handgeschakeld ,Gelderland
Supervette bruine Vito buscamper praktisch en compleet,joris,"19.950,-",Blitterswijck,2014,185.288 km,Diesel ,Handgeschakeld ,Limburg
Ford Transit Custom 2.0TDCI L1H1 Euro6 Airco | Cruisecontrol,Van der Wal Vans,"13.750,-",Langerak,2016,153.161 km,Diesel ,Handgeschakeld ,Drenthe
Audi A6 Allroad 3.0 TDI Quattro 150KW S-tronic  Zilver Grijs,Kroon,"14.900,-",Amsterdam,2013,221.000 km,Diesel ,Automaat ,Noord-Holland
Opel Combo L1 H1 2017 €156 per maand,Action Lease,"10.800,-",Heel Nederland,2017,73.521 km,Diesel ,Handgeschakeld ,In every province
Audi Q7 3.0 TDI 176KW Quattro Tiptr. 7ST 2008 Zwart,Dirk,"12.750,-",Hoevelaken,2008,276.000 km,Diesel ,Automaat ,Gelderland
Audi A3 Sportback 1.4 TFSI Design Pro Line Plus Pano/LaneAss,WeSelect,"28.250,-",Amstelveen,2016,112.930 km,Benzine ,Automaat ,Noord-Holland
Renault Mégane Estate 1.5 Energy dCi 110pk EDC 2017 Grijs,sidar,"11.250,-",'s-Gravenhage,2017,155.500 km,Diesel ,Automaat ,Zuid-Holland
Nieuwe 2023 model van Aixam / Crossover SUV hoge instap,Garage Kaal & Buunk - Aixam,"16.699,-",Beek,2023,1 km,Diesel ,Automaat ,Limburg
Ford Transit Connect 1.5TDCI L2H1 Trend Euro6 *Rijklaar* Air,Van der Wal Vans,"19.750,-",Langerak,2020,92.330 km,Diesel ,Handgeschakeld ,Drenthe
Toyota ProAce 1.5D-4D 100pk L2H1 Euro6 *Rijklaar* Airco | Cr,Van der Wal Vans,"304,-",Langerak,2019,101.627 km,Diesel ,Handgeschakeld ,Drenthe
Mercedes-Benz E-klasse 500 Elegance|OPKNAPPER/EXPORT,Autobedrijf Van Nobelen,"4.000,-",Lisse,2003,306.446 km,Benzine ,Automaat ,Zuid-Holland
Volkswagen Polo 1.8 TSI GTI dsg pano led lmv pdc elek,SK Occasion,"13.350,-",Waalwijk,2015,164.901 km,Benzine ,Handgeschakeld ,Noord-Brabant
Nieuwe 2023 model van Aixam / Crossover SUV hoge instap,Garage Kaal & Buunk - Aixam,"16.699,-",Beek,2023,1 km,Diesel ,Automaat ,Limburg
Fiat 500C 1.2 Popstar AIRCO-LMV-AUDIO/CD-LMV-CABRIOLET,Autobedrijf Tanis,"8.950,-",Waddinxveen,2014,90.946 km,Benzine ,Handgeschakeld ,Zuid-Holland
"Volkswagen golf 7.5 3x R line 1.4 ,virtual cockpit , keyless",roy,"22.900,-",Monnickendam,2017,56.300 km,Benzine ,Handgeschakeld ,Noord-Holland
Volkswagen Id.3 58kWh 204pk 2020 pro line 8% bijtelling,RN,"35.950,-",Denekamp,2020,23.134 km,Elektrisch ,Handgeschakeld ,Overijssel
Volkswagen Golf Plus 1.4 16V TSI Sportline airco LM org NL 2,HSV Auto's,"3.650,-",Vaassen,2007,220.168 km,Benzine ,Handgeschakeld ,Gelderland
Audi Q3 35 TFSI 3X S line Leer Camera Led 1e eigenaar Dealer,Van Geffen Voertuigen,"37.999,-",Tilburg,2019,85.707 km,Benzine ,Automaat ,Noord-Brabant
"Wij houden u (brom) mobiel! Pech-, haal- en brengservice",Garage Kaal & Buunk,e omschrijving,Beek,2022,1 km,Elektrisch ,Automaat ,Limburg
Audi A1 1.4TFSI 132KW S-tronic 2x S-line 185PK >Modificatie<,Mensink,"11.995,-",Maarssen,2011,159.785 km,Benzine ,Automaat ,Utrecht
BMW Z3 Coupe 2002 3.0 AUT,erwin,"19.900,-",'s-Gravenhage,2002,127.200 km,Benzine ,Automaat ,Zuid-Holland
Mercedes-Benz Sprinter Bestelbus 319 3.0V6 CDI Automaat L2H2,DUTCH Vans,"14.700,-",Barneveld,2012,230.520 km,Diesel ,Automaat ,Gelderland
