Make,Model,Price,Year,Ran,Engine Type,Transmission,Location,Province,Seller,Title
alfa romeo,giulia,52950,2017 ,130800.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,alfa romeo giulia 2.9 v6 quadrifoglio | carbon-pack | stoelv
volkswagen,golf,21450,2018 ,90200.0,Benzine ,Handgeschakeld ,Veenendaal,Utrecht,Ros Automotive,volkswagen golf 1.0 tsi trendline | r-line | pano | dynamisc
mercedes,500,54950,2016 ,142435.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,"mercedes-benz gl-klasse 500 4-matic | np €219.200,- | schu"
mercedes,108,178,2018 ,110530.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,mercedes-benz citan | 108 cdi blueefficiency l1h1
bmw,m3,123950,2022 ,12342.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,bmw 3 serie m3 xdrive competition sportstoelen | head-up | 3
mercedes,gt,149750,2018 ,10123.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,mercedes-benz amg gt 4.0 c | 50 years edition | magno-grey |
bmw,x1,47950,2022 ,6109.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,bmw x1 sdrive20i m-sport | top staat! | m-sport | head-up |
volkswagen,caddy,194,2016 ,182298.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy maxi | 2.0 tdi l2h1
mini,cooper,45950,2021 ,15039.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,mini cabrio 2.0 john cooper works jcw pack | nieuw model | h
audi,a6,61950,2019 ,76240.0,Hybride Elektrisch/Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,audi a6 55 tfsi quattro design pro line plus | vol! | 360 gr
bmw,m2,56950,2019 ,46296.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,bmw 2 serie coupé m2 dct competition | 100% onderhouden | h
seat,ateca,45750,2021 ,21631.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,seat ateca 2.0 tsi 4drive fr business intense | full option
volkswagen,caddy,222,2016 ,108598.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l2h1 maxi kasteninbouw
bmw,cabrio,58950,2021 ,9584.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,bmw 4 serie cabrio 420i high executive | full option | harma
porsche,macan,84950,2020 ,91953.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,porsche macan 3.0 s | nl-auto | full-option! | pano | 360 ca
volkswagen,caddy,238,2019 ,140948.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy maxi | 2.0 tdi l2h1
mercedes,glc,92950,2021 ,37946.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,mercedes-benz glc 43 amg 4matic premium plus | nieuw model!
porsche,911,187750,2021 ,6134.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,porsche 911 cabrio 3.0 carrera s | nieuwstaat! | bose | stoe
bmw,x3,39750,2018 ,80155.0,Diesel ,Automaat ,Veenendaal,Utrecht,Ros Automotive,bmw x3 xdrive20d high executive | stuurv | stoelverw | head-
bmw,x5,86950,2020 ,97301.0,Hybride Elektrisch/Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,bmw x5 xdrive45e high executive | bom vol! | btw | sky-loung
ford,im,10900,2016 ,183429.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | 3-zits | im
volkswagen,caddy,260,2016 ,142693.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1 bmt highline
mercedes,citan,269,2018 ,53871.0,Benzine ,Automaat ,Heel Nederland,In every province,Regeljelease.nl,"mercedes-benz citan | 112 ambition automaat , airco"
mercedes,citan,259,2020 ,48270.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,mercedes-benz citan | 109 cdi
ford,im,241,2016 ,183429.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | 3-zits | im
bmw,x5,86950,2020 ,97301.0,Hybride Elektrisch/Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,bmw x5 xdrive45e high executive | bom vol! | btw | sky-loung
audi,a4,43750,2020 ,38201.0,Hybride Elektrisch/Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,audi a4 avant 35 tfsi launch edition sport | 150 pk | pano/s
ford,transit,248,2017 ,116451.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5 tdci l2h1
mercedes,glc,69950,2021 ,9254.0,Hybride Elektrisch/Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,mercedes-benz glc coupé 300 4matic premium plus | burmester
audi,a6,68950,2016 ,111237.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,audi a6 avant 4.0 tfsi rs 6 quattro pro line plus | top staa
volkswagen,tiguan,31950,2020 ,109333.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,volkswagen tiguan 1.5 tsi elegance | btw-auto | 7 - persoons
opel,combo,276,2019 ,59976.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,opel combo | 1.5d l2h1 edition
porsche,boxster,54950,2016 ,124299.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,porsche 718 boxster 2.0 | top staat! | dealer onderhouden |
mercedes,glc,65950,2020 ,37752.0,Hybride Elektrisch/Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,mercedes-benz glc 300e 4matic premium plus | schuifdak | 360
volkswagen,touareg,32950,2012 ,138189.0,Diesel ,Automaat ,Veenendaal,Utrecht,Ros Automotive,volkswagen touareg 4.2 v8 tdi | r- line | memory seats | pan
mercedes,200,63950,2022 ,13408.0,Benzine ,Automaat ,Veenendaal,Utrecht,Ros Automotive,mercedes-benz c-klasse 200 amg line | premium-pakket | burme
ford,transit,183,2017 ,133964.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5 tdci trend e6 cruise/ carplay/ na
dodge,ram,99950,2023 ,10.0,Benzine ,Automaat ,Nuland,Noord-Brabant,Millbrooks,"dodge ram 2500 powerwagon 6.4l v8 hemi, 2023 model, digitaal"
citroen,c1,4440,2013 ,101358.0,Benzine ,Handgeschakeld ,Best,Noord-Brabant,Frank Ven auto's,citroen c1 1.0 tendance/bj2013/nw model/5drs/nw apk/oh beurt
volkswagen,caddy,297,2017 ,77027.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1 bmt comfortline
opel,combo,269,2020 ,150382.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,opel combo | 1.5d l2h1 edition / 102 pk / navigatie / cruise
honda,civic,3945,2005 ,148675.0,Benzine ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,honda civic 1.4i bar sport | airco | lmv | elekt. ramen | ap
audi,q5,16499,2013 ,222138.0,Diesel ,Automaat ,Deventer,Overijssel,Mobiliteits Service Evert B.V.,audi q5 3.0 tdi quattro pro line s bomvolle audi s line rijd
ford,transit,18900,2020 ,45333.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci 100pk l2h1 trend euro6 *rijkl
ford,im,241,2016 ,183429.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | 3-zits | im
peugeot,partner,243,2019 ,46050.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,peugeot partner | 1.6 bluehdi premium
peugeot,partner,161,2017 ,117043.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,peugeot partner | 122 1.6 bluehdi l1h1
toyota,proace,20900,2020 ,84738.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
mercedes,sprinter,537,2020 ,64840.0,Diesel ,Handgeschakeld ,Veenendaal,Utrecht,ROS finance,mercedes-benz sprinter 314 cdi 140pk l2h2 airco cruise camer
opel,movano,31353,2019 ,184551.0,Diesel ,Handgeschakeld ,IJsselstein,Utrecht,DTC Lease,"opel movano | bestelwagen| occasions| v.a. €313,53 p.m."
peugeot,expert,195,2017 ,152069.0,Diesel ,Handgeschakeld ,Veenendaal,Utrecht,ROS finance,peugeot expert 1.6 bluehdi euro 6 - airco - cruise - imperia
peugeot,100,138,2018 ,164209.0,Diesel ,Handgeschakeld ,Veenendaal,Utrecht,ROS finance,"peugeot partner 120 1.6 bluehdi 100 l1 premium, airco, cruis"
fiat,ducato,397,2019 ,33428.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,fiat ducato | 35 2.3 mj 130 pk l4h2 3.0t trekverm./ 270gr.de
toyota,yaris,5750,2011 ,103926.0,Benzine ,Handgeschakeld ,Lekkerkerk,Zuid-Holland,Autoplaza Krimpenerwaard,toyota yaris 1.3 vvt-i comfort airco/aux/5d/nieuwe apk
citroën,berlingo,7800,2013 ,188020.0,Diesel ,Automaat ,Heel Nederland,In every province,Finalease.nl,citroën berlingo 1.6 e-hdi l1h1 aut airco cruise €151pm
audi,a3,22750,2016 ,122718.0,Benzine ,Automaat ,Venlo,Limburg,SH Automotive,audi a3 sportback 1.4 tfsi pro facelift / 2x s-line / virtua
volkswagen,polo,8750,2011 ,53566.0,Benzine ,Handgeschakeld ,Goor,Noord-Brabant,R.knops,volkswagen polo 1.2 tsi  105 pk. weinig km 6 versnelling
audi,q3,16450,2013 ,128452.0,Diesel ,Automaat ,Eindhoven,Noord-Brabant,Covero,audi q3 2.0 tdi quattro s-line (2x) automaat panoramadak!
renault,master,333,2016 ,104064.0,Diesel ,Automaat ,Heel Nederland,In every province,Regeljelease.nl,renault master | 2.3 dci automaat lowliner verkoopwagen
volkswagen,jetta,7990,2011 ,90000.0,Benzine ,Handgeschakeld ,Rheden,Gelderland,H Bosman -  mooie spullen :-),volkswagen jetta 1.2tsi 77kw h6 2011 grijs - distr. goed
volkswagen,caddy,28700,2021 ,21367.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH Vans,volkswagen caddy maxi bestelbus 2.0tdi edition | airco |
peugeot,partner,243,2019 ,46050.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,peugeot partner | 1.6 bluehdi premium
peugeot,partner,161,2017 ,117043.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,peugeot partner | 122 1.6 bluehdi l1h1
toyota,proace,20900,2020 ,84738.0,Diesel ,Handgeschakeld ,Langerak,Drenthe,Van der Wal Vans,toyota proace 1.5d-4d 100pk l2h1 euro6 airco | cruise | 3-zi
hummer,h2,17999,2003 ,171070.0,Benzine ,Automaat ,Deventer,Overijssel,Mobiliteits Service Evert B.V.,hummer h2 h2 nette auto met 6 plaatsen rijd en schakelt goed
volkswagen,golf,15950,2017 ,44600.0,Benzine ,Handgeschakeld ,Hoogblokland,Zuid-Holland,bart,volkswagen golf vii 1.4 tsi 125pk 5d 2017 wit
audi,a6,21999,2012 ,268988.0,Diesel ,Automaat ,Nieuwerkerk aan den IJssel,Zuid-Holland,Paul,audi a6 3.0 bitdi avant s-line quattro  pano competition
mercedes,108,11250,2019 ,135223.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,mercedes-benz citan 108 cdi airco cruise elektrpakket €193pm
mercedes,vito,8950,2008 ,323500.0,Diesel ,Automaat ,Budel-Schoot,Noord-Brabant,DB,dikke mercedes vito brabus*3.0 v6*5prs*nap*!!
renault,kangoo,8950,2020 ,198683.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,renault kangoo 1.5 energy | airco navi pdc eco €138pm
audi,q3,41500,2019 ,67230.0,Benzine ,Automaat ,Tilburg,Noord-Brabant,Van Geffen Voertuigen,audi q3 35 tfsi 3x s line pano camera 1e eigenaar audi black
renault,kangoo,5750,2013 ,219850.0,Diesel ,Handgeschakeld ,Zandpol,Drenthe,Harry Vink Auto's,renault kangoo express 1.5 dci 75 express comfort (bj 2013)
volkswagen,caddy,28700,2021 ,21367.0,Diesel ,Handgeschakeld ,Barneveld,Gelderland,DUTCH Vans,volkswagen caddy maxi bestelbus 2.0tdi edition | airco |
peugeot,expert,16450,2018 ,173702.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot expert 2.0 hdi | airco cruise trekhaak pdc €283
peugeot,partner,14450,2020 ,91211.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot partner 1.6 bluehdi premium | airco pdc cruise €249
bmw,cabrio,30495,2014 ,142337.0,Benzine ,Automaat ,Almelo,Overijssel,Vice City Cars,bmw 4-serie 435i cabrio high executive/m-sport/harmankardon
ford,transit,18450,2017 ,99112.0,Benzine ,Handgeschakeld ,Oss,Noord-Brabant,Danenhoef Auto's,ford transit connect 1.0 l2 maxi airco cruise camera 220v
volkswagen,touran,7595,2011 ,211765.0,Diesel ,Handgeschakeld ,Almelo,Overijssel,Vice City Cars,volkswagen touran 1.6 tdi 105pk bmt highline
ford,ranger,780,2021 ,55055.0,Diesel ,Automaat ,Heel Nederland,In every province,Regeljelease.nl,ford ranger | raptor 213 pk 4wd 10 traps aut!
renault,trafic,412,2016 ,111528.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,renault trafic | 1.6 dci t27 l1h1
ford,transit,12900,2016 ,130821.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | navigatie |
ford,transit,356,2019 ,107576.0,Diesel ,Automaat ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci 120pk automaat l2h1 euro6 air
ford,transit,21900,2019 ,107576.0,Diesel ,Automaat ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci 120pk automaat l2h1 euro6 air
porsche,cayenne,10500,2007 ,252125.0,Benzine ,Automaat ,Amsterdam,Noord-Holland,Rfa taxaties,porsche cayenne 3.6 tiptr. s 2007 facelift gekocht veiling
peugeot,expert,16450,2018 ,173702.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot expert 2.0 hdi | airco cruise trekhaak pdc €283
volkswagen,golf,4499,2005 ,227961.0,Benzine ,Handgeschakeld ,Groningen,Groningen,Car Refresh,"volkswagen golf 2.0 fsi comfortline 4m airco, panoramadak"
volkswagen,polo,19850,2019 ,39500.0,Benzine ,Automaat ,Almelo,Overijssel,Lenferink Auto's B.V.,volkswagen polo 1.0 tsi highline 115pk clima apple carplay p
volkswagen,t-roc,28985,2019 ,51730.0,Benzine ,Automaat ,Vriezenveen,Overijssel,Gert Hekhuis auto's,volkswagen t-roc 1.5 tsi dsg r line camera navigatie led
peugeot,partner,14450,2020 ,91211.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot partner 1.6 bluehdi premium | airco pdc cruise €249
volkswagen,golf,9650,2011 ,160500.0,Benzine ,Handgeschakeld ,Venlo,Limburg,Lodewijk Rutten,volkswagen golf 2.0 gti 155kw 2011 zwart
renault,captur,29750,2022 ,19479.0,Benzine ,Automaat ,Volkel,Noord-Brabant,Autobedrijf v.d. Elzen,renault captur 1.3 tce intens
mercedes,108,15950,2021 ,79195.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,mercedes-benz citan 108 cdi | airco trekhaak lat-om-lat €274
opel,grandland,19950,2018 ,99316.0,Diesel ,Handgeschakeld ,Volkel,Noord-Brabant,Autobedrijf v.d. Elzen,opel grandland x 1.6 cdti ultimate
peugeot,partner,7450,2014 ,169391.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot partner 1.6 e-hdi cruise airco pdc navigatie €167pm
volkswagen,golf,35250,2021 ,40650.0,Hybride Elektrisch/Benzine ,Automaat ,Tilburg,Noord-Brabant,Van Geffen Voertuigen,volkswagen golf 8 1.5 etsi r-line pano garantie 04-2025 sfee
peugeot,partner,14450,2020 ,89176.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot partner 1.5 bluehdi premium | airco cruise pdc €249
audi,s3,22500,2014 ,167000.0,Benzine ,Automaat ,Heino,Overijssel,Mitchelspringer,audi s3 2.0 tfsi zwart full option !!!
suzuki,swift,5244,2010 ,155452.0,Benzine ,Handgeschakeld ,Tilburg,Noord-Brabant,Dagdelen Auto's,suzuki swift 1.2 facelift nw model / airco / elektr pak / ap
volkswagen,gti,24950,2020 ,65000.0,Benzine ,Automaat ,Almelo,Overijssel,Mikho Automotive,volkswagen polo gti 2.0 2020 automaat|virtualcockpit|panoram
peugeot,expert,17250,2016 ,187975.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot expert 2.0 bluehdi premium airco cruise pdc nav €335
volkswagen,caddy,210,2017 ,75755.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l2h1 maxi kasteninbouw euro 6
volkswagen,caddy,241,2019 ,140614.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1
ford,transit,286,2016 ,94501.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk lang 3pers. / cruisecont
volkswagen,caddy,316,2018 ,157907.0,Diesel ,Automaat ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0 tdi l1h1
volkswagen,golf,52900,2021 ,42840.0,Benzine ,Automaat ,Aalsmeer,Noord-Holland,CountryCars NL BV,volkswagen golf 8r 2.0 tsi 4motion | pano | harman kardon |
ford,focus,31900,2016 ,92697.0,Benzine ,Handgeschakeld ,Aalsmeer,Noord-Holland,CountryCars NL BV,ford focus rs 2.3 | recaro | camera | led |
land rover,rover,18900,2006 ,289301.0,Benzine ,Automaat ,Aalsmeer,Noord-Holland,CountryCars NL BV,land rover range rover 4.2 v8 supercharged | youngtimer | le
ford,transit,22250,2018 ,82182.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,ford transit custom 320 2.0 l2h1 cruise airco pdc €343pm
audi,e-tron,56900,2019 ,71088.0,Elektrisch ,Automaat ,Aalsmeer,Noord-Holland,CountryCars NL BV,audi e-tron 55 quattro | s-line | 4 % bijtelling | 408 pk |
audi,e-tron,73900,2021 ,79109.0,Elektrisch ,Automaat ,Aalsmeer,Noord-Holland,CountryCars NL BV,audi e-tron sportback 55 quattro | 8 % bijtelling |
audi,e-tron,71900,2021 ,37248.0,Elektrisch ,Automaat ,Aalsmeer,Noord-Holland,CountryCars NL BV,audi e-tron 55 quattro | s-line | 12 % bijtelling | 408 pk |
volkswagen,caddy,12650,2015 ,87919.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,volkswagen caddy 1.6 tdi | airco pdc cruise control kasten
audi,e-tron,62900,2019 ,33207.0,Elektrisch ,Automaat ,Aalsmeer,Noord-Holland,CountryCars NL BV,audi e-tron 55 quattro | s-line | 4 % bijtelling | 408 pk |
ford,transit,10450,2017 ,109459.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,ford transit courier 1.5 tdci | airco cruise elektpak €179pm
dodge,charger,30000,2020 ,52000.0,Benzine ,Automaat ,'s-Hertogenbosch,Noord-Brabant,CustomMining,dodge charger 5.7 r/t rwd 2016 - 52.000km - 469pk
peugeot,expert,17250,2016 ,187975.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot expert 2.0 bluehdi premium airco cruise pdc nav €335
volkswagen,golf,11350,2013 ,165000.0,Benzine ,Handgeschakeld ,Rotterdam,Zuid-Holland,Hakim,volkswagen golf 1.4 tsi 90kw 5d 2013 zwart
renault,trafic,16500,2019 ,80000.0,Diesel ,Handgeschakeld ,Arnhem,Gelderland,ED Afbouw,renault trafic gb 1.6 dci 120pk l2h1 t29 2019
bmw,z4,10445,2007 ,185890.0,Benzine ,Handgeschakeld ,Krimpen aan de Lek,Zuid-Holland,AUTOHUIS HEIJKOOP,"bmw z4 roadster 2.0i introduction sport (xenon,led,cruise,ai"
audi,quattro,64745,2018 ,67117.0,Benzine ,Automaat ,Krimpen aan de Lek,Zuid-Holland,AUTOHUIS HEIJKOOP,audi rs5 coupé 2.9 tfsi rs 5 quattro nl auto (digitalcockpi
volvo,s60,7945,2006 ,156182.0,Benzine ,Automaat ,Krimpen aan de Lek,Zuid-Holland,AUTOHUIS HEIJKOOP,"volvo s60 2.4 edition ii youngtimer (5 cilinder,navi,schuifd"
alfa romeo,2008,4250,2008 ,230000.0,Benzine ,Handgeschakeld ,Rottevalle,Fryslân,klaas,snelle alfa romeo mito 1.4 turbo 114kw 2008 gechipt! 180 pk!
opel,combo,12250,2018 ,51068.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,opel combo 1.3 l2h1 airco start/stop trekh lat-om-lat €189pm
peugeot,100,178,2019 ,143132.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,peugeot partner 1.6 100 pk bluehdi premium |
renault,trafic,412,2016 ,111528.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,renault trafic | 1.6 dci t27 l1h1
ford,transit,12900,2016 ,130821.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.6tdci 96pk l2h1 airco | navigatie |
mercedes,sprinter,681,2020 ,51453.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,mercedes-benz sprinter | 319
volkswagen,up!,6999,2012 ,69233.0,Benzine ,Handgeschakeld ,Tilburg,Noord-Brabant,Car-4-You B.V.,volkswagen up! 1.0 high up!/airco/navigatie/apk
opel,combo,12250,2018 ,51068.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,opel combo 1.3 l2h1 airco start/stop trekh lat-om-lat €189pm
seat,mii,4745,2012 ,231828.0,Benzine ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,seat mii 1.0 style sport | navi | airco | cruise control | l
peugeot,expert,14250,2017 ,179988.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,peugeot expert 231l 2.0 pro 120pk l3 airco pdc cruise €245pm
ford,transit,260,2019 ,124930.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5ecoblue 100pk lang / imperiaal / c
opel,combo,7350,2016 ,182436.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,opel combo 1.3 kasten airco cruise startstop trekhaak €122pm
fiat,500c,6745,2010 ,182216.0,Benzine ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,fiat 500c 1.4 lounge | leer | autom. airco | lmv | pdc | sto
opel,corsa,7445,2013 ,82416.0,Benzine ,Handgeschakeld ,Schoonebeek,Drenthe,Auto Hoff,opel corsa 1.2-16v design edition | airco | lmv | 5 deuren |
audi,s3,15500,2009 ,205500.0,Benzine ,Automaat ,Gouda,Zuid-Holland,B,audi s3 2.0t quattro s-tronic pano bbs bose full option
renault,kangoo,11650,2018 ,72265.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,renault kangoo 1.5 dci airco navi cruise pdc latomlat €199pm
volkswagen,caddy,323,2017 ,90280.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy | 2.0tdi 150pk dv-edition / lederen bekledi
volkswagen,caddy,184,2016 ,148838.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,volkswagen caddy maxi | 2.0 tdi highline l2h1
ford,transit,256,2018 ,96597.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5tdci l2h1 100pk euro6 airco | trek
ford,transit,210,2017 ,92386.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect | 1.5 tdci l1h1
mercedes,citan,225,2020 ,51821.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,mercedes-benz citan | 109 cdi
nissan,micra,3899,2008 ,71459.0,Benzine ,Handgeschakeld ,Soesterberg,Utrecht,Occasion Center de Vries B.V.,nissan micra 1.2 airco cruisecontrol elektr pakket bluetooth
audi,q3,46950,2020 ,40810.0,Benzine ,Automaat ,Huizen,Noord-Holland,Reborninvent,audi q3 sportback 35 tfsi 150pk s tronic 2020 zwart
volkswagen,golf,7800,2010 ,122931.0,Benzine ,Automaat ,Gennep,Limburg,arlette,volkswagen golf plus 1.2 tsi 77kw dsg 2010 grijs
renault,kangoo,11650,2018 ,72265.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,renault kangoo 1.5 dci airco navi cruise pdc latomlat €199pm
volkswagen,passat,17500,2015 ,94353.0,Benzine ,Handgeschakeld ,Voorschoten,Zuid-Holland,G. Draijer,volkswagen passat 1.4 tsi 110kw variant 2015 94.000 km
audi,a4,22000,2016 ,278400.0,Diesel ,Automaat ,Utrecht,Utrecht,M.B.,audi a4 3.0 tdi quattro 272pk|| 3xs-line |panorama | keyless
audi,a6,32000,2013 ,190000.0,Benzine ,Automaat ,Den Dungen,Noord-Brabant,joris,audi a6 avant s6 421pk quattro s tronic 2013 blauw
ford,transit,15650,2016 ,151269.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,ford transit custom 290 2.2 tdci airco cruise trekhaak €303
toyota,yaris,12450,2014 ,148668.0,Hybride Elektrisch/Benzine ,Automaat ,Swalmen,Limburg,RK auto’s Reuver,toyota yaris 1.5 hybrid comfort / navi / cruise
audi,a1,8790,2011 ,144921.0,Benzine ,Handgeschakeld ,Losser,Overijssel,Stadsauto Twente,audi a1 1.2 tfsi attraction pro line airco lv navi dealer on
citroen,c1,5990,2014 ,116786.0,Benzine ,Handgeschakeld ,Losser,Overijssel,Stadsauto Twente,citroen c1 1.0 vvt-i airco nieuwe type
ford,transit,275,2017 ,19648.0,Diesel ,Handgeschakeld ,Heel Nederland,In every province,Regeljelease.nl,ford transit connect |
suzuki,swift,8990,2012 ,117874.0,Benzine ,Handgeschakeld ,Losser,Overijssel,Stadsauto Twente,suzuki swift 1.2 exclusive easss voorzien van climate cotrol
toyota,proace,17450,2018 ,92498.0,Diesel ,Handgeschakeld ,Emmen,Overijssel,Hans Automotive,toyota proace l1h1 1.6 | airco cruise navi trekhaak €300pm
peugeot,208,6450,2012 ,148206.0,Benzine ,Handgeschakeld ,Krimpen aan de Lek,Zuid-Holland,RF de Wit Auto's,peugeot 208 1.2 vti blue lease
mini,cooper,9950,2011 ,157166.0,Benzine ,Handgeschakeld ,Putten,Gelderland,STM Auto's,mini mini 1.6 cooper s chili 184 pk! ecc cruisecontrol leer
seat,leon,5450,2009 ,140676.0,Benzine ,Handgeschakeld ,Putten,Gelderland,STM Auto's,seat leon 1.8 tfsi style 161 pk! ecc crruisecontrol navigati
